Model, Train Score, Test Score
Decision Tree, 0.81, 0.74
Logistic Regression, 0.83, 0.83
Linear Regression, 0.6, 0.8
Multilayer Perceptron, 0.61, 0.58
Support Vector Machine, 0.65, 0.52
K-Nearest Neighbors, 0.60, 0.48
