,Type,Description,ICC,F,df1,df2,pval,CI95%
0,ICC1,Single raters absolute,0.6363172660035703,6.24894810659186,31,64,3.474903130279533e-10,[0.45 0.79]
1,ICC2,Single random raters,0.6424272818455364,7.274285714285707,31,62,2.1965654943149048e-11,[0.45 0.79]
2,ICC3,Single fixed raters,0.6765249537892788,7.274285714285707,31,62,2.1965654943149048e-11,[0.5  0.81]
3,ICC1k,Average raters absolute,0.8399730669958477,6.24894810659186,31,64,3.474903130279533e-10,[0.71 0.92]
4,ICC2k,Average random raters,0.8435030728709393,7.274285714285707,31,62,2.1965654943149048e-11,[0.71 0.92]
5,ICC3k,Average fixed raters,0.8625294579732913,7.274285714285707,31,62,2.1965654943149048e-11,[0.75 0.93]
